,index,Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,Phone Number,HCAHPS Measure ID,HCAHPS Question,HCAHPS Answer Description,Patient Survey Star Rating,Patient Survey Star Rating Footnote,HCAHPS Answer Percent,HCAHPS Answer Percent Footnote,HCAHPS Linear Mean Value,Number of Completed Surveys,Number of Completed Surveys Footnote,Survey Response Rate Percent,Survey Response Rate Percent Footnote,Start Date,End Date,Year,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for promoting interoperability of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,lat,lon
4650,4650,010100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,BALDWIN,(251) 928-2375,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,82,,Not Applicable,1257,,33,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,30.518785,-87.888206
4743,4743,010101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,AL,35161,TALLADEGA,(256) 761-4542,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,84,,Not Applicable,249,,18,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Same as the national average,,Not Available,5.0,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,33.440228,-86.090546
4836,4836,010102,J PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,CAMDEN,AL,36726,WILCOX,(334) 682-4131,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,Not Available,1,Not Applicable,Not Available,1,Not Available,1,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Not Available,16.0,Not Available,5.0,Not Available,5.0,Not Available,5.0,Not Available,16.0,Not Available,5.0,Above the national average,,Not Available,5.0,31.997484,-87.300201
4929,4929,010103,PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,JEFFERSON,(205) 783-3800,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,80,,Not Applicable,1080,,21,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,2,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,33.498611,-86.845772
5022,5022,010104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,BIRMINGHAM,AL,35243,JEFFERSON,(205) 971-1000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,81,,Not Applicable,1385,,27,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Proprietary,Yes,Y,3,,Same as the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,33.432777,-86.718285
5115,5115,010108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,AUTAUGA,(334) 361-4267,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,87,,Not Applicable,471,,20,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,5,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,32.464184,-86.452057
5208,5208,010109,PICKENS COUNTY MEDICAL CENTER,241 ROBERT K WILSON DRIVE,CARROLLTON,AL,35447,PICKENS,(205) 367-8111,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,92,6,Not Applicable,54,6,21,6,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Government - Local,Yes,Y,3,,Not Available,5.0,Not Available,5.0,Same as the national average,,Not Available,16.0,Same as the national average,,Same as the national average,,Same as the national average,,33.274475,-88.08873
5301,5301,010110,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,BULLOCK,(334) 738-2140,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,73,10,Not Applicable,28,10,15,10,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Proprietary,Yes,,Not Available,16.0,Not Available,5.0,Not Available,5.0,Not Available,5.0,Not Available,16.0,Not Available,5.0,Above the national average,,Not Available,5.0,32.146667,-85.716766
5394,5394,010112,BRYAN W. WHITFIELD MEMORIAL HOSPITAL,105 HIGHWAY 80 EAST,DEMOPOLIS,AL,36732,MARENGO,(334) 289-4000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,83,,Not Applicable,101,,19,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,3,,Same as the national average,,Not Available,5.0,Below the national average,,Not Available,16.0,Same as the national average,,Same as the national average,,Same as the national average,,32.505341,-87.837044
5487,5487,010113,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36652,MOBILE,(251) 435-4700,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,82,,Not Applicable,1435,,34,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,30.697208,-88.080559
5580,5580,010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35021,JEFFERSON,(205) 481-7000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,77,,Not Applicable,844,,17,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,,Same as the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,33.372303,-86.990723
5673,5673,010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA,AL,36701,DALLAS,(334) 418-4100,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,76,,Not Applicable,364,,14,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Proprietary,Yes,Y,2,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,32.429546,-87.056023
5766,5766,010120,MONROE COUNTY HOSPITAL,2016 SOUTH ALABAMA AVENUE,MONROEVILLE,AL,36460,MONROE,(251) 575-3111,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,90,,Not Applicable,152,,24,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Government - Local,Yes,Y,3,,Same as the national average,,Not Available,5.0,Below the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,31.497988,-87.321053
5859,5859,010125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E,HALEYVILLE,AL,35565,WINSTON,(205) 485-7117,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,85,,Not Applicable,257,,32,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,5,,Above the national average,,Not Available,5.0,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Not Available,5.0,34.242813,-87.591957
5952,5952,010126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,36081,PIKE,(334) 670-5000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,85,,Not Applicable,278,,29,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Government - Federal,Yes,,3,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,31.781504,-85.945564
6045,6045,010128,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,JACKSON,AL,36545,CLARKE,(251) 246-9021,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,75,6,Not Applicable,67,6,18,6,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Proprietary,Yes,,2,,Same as the national average,,Not Available,5.0,Below the national average,,Not Available,16.0,Same as the national average,,Above the national average,,Not Available,5.0,31.532116,-87.895851
6138,6138,010129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,BAY MINETTE,AL,36507,BALDWIN,(251) 937-5521,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,84,,Not Applicable,387,,27,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,Same as the national average,,Below the national average,,Not Available,5.0,30.903461,-87.784737
6231,6231,010130,ST VINCENT'S ST CLAIR,7063 VETERANS PARKWAY,PELL CITY,AL,35125,ST. CLAIR,(205) 338-3301,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,85,,Not Applicable,367,,34,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Same as the national average,,Not Available,5.0,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Not Available,5.0,33.604305,-86.301872
6324,6324,010131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,MADISON,(256) 882-3100,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,78,,Not Applicable,1175,,28,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Proprietary,Yes,Y,2,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,-1,-1
6417,6417,010138,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,YORK,AL,36925,SUMTER,(205) 392-5263,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,Not Available,1,Not Applicable,Not Available,1,Not Available,1,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,Not Available,16.0,Not Available,16.0,Not Available,5.0,Not Available,16.0,Not Available,16.0,Not Available,5.0,Same as the national average,,Not Available,16.0,32.492035,-88.295441
6510,6510,010139,BROOKWOOD BAPTIST MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,35209,JEFFERSON,(205) 877-1000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,77,,Not Applicable,1090,,16,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Proprietary,Yes,Y,3,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,33.463497,-86.776695
6603,6603,010144,SPRINGHILL MEDICAL CENTER,3719 DAUPHIN STREET,MOBILE,AL,36608,MOBILE,(251) 344-9630,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,78,,Not Applicable,2635,,28,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Proprietary,Yes,Y,2,,Below the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Below the national average,,Below the national average,,30.68441,-88.131317
6696,6696,010148,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,EVERGREEN,AL,36401,CONECUH,(251) 578-2480,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,79,,Not Applicable,213,,19,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Proprietary,Yes,,4,,Same as the national average,,Not Available,5.0,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Not Available,5.0,31.430841,-86.940414
6789,6789,010149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,MONTGOMERY,AL,36117,MONTGOMERY,(334) 244-8330,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,80,,Not Applicable,565,,17,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,5,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,32.376205,-86.17466
6882,6882,010150,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,29 L V STABLER DRIVE,GREENVILLE,AL,36037,BUTLER,(334) 382-2200,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,78,6,Not Applicable,83,6,17,6,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Proprietary,Yes,,2,,Same as the national average,,Not Available,5.0,Same as the national average,,Not Available,16.0,Same as the national average,,Same as the national average,,Not Available,5.0,31.829117,-86.646278
6975,6975,010157,SHOALS HOSPITAL,201 WEST AVALON AVENUE,MUSCLE SHOALS,AL,35661,COLBERT,(256) 386-1601,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,79,,Not Applicable,263,,22,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,34.747276,-87.676323
7068,7068,010158,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,RUSSELLVILLE,AL,35653,FRANKLIN,(256) 332-1611,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,81,,Not Applicable,183,,17,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Proprietary,Yes,Y,4,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,34.510937,-87.718422
